Mean of Bot Competance Dstbn,Variance of Bot Competance Dstbn,Bot Only Levenshtein Distance,Align Consensus Levenshtein Distance
0,0.0,80,80
1,0.01,84,82
1,0.02,85,83
1,0.03,84,80
1,0.04,85,81
1,0.05,82,82
1,0.060000000000000005,85,82
1,0.07,83,82
1,0.08,84,82
1,0.09,87,80
1,0.09999999999999999,88,84
1,0.10999999999999999,85,81
1,0.11999999999999998,86,82
1,0.12999999999999998,88,82
1,0.13999999999999999,84,84
1,0.15,84,82
1,0.16,84,83
1,0.17,85,82
1,0.18000000000000002,86,83
1,0.19000000000000003,88,85
1,0.20000000000000004,88,81
1,0.21000000000000005,87,85
1,0.22000000000000006,90,82
1,0.23000000000000007,89,82
1,0.24000000000000007,92,85
1,0.25000000000000006,94,85
1,0.26000000000000006,87,81
1,0.2700000000000001,95,85
1,0.2800000000000001,90,84
1,0.2900000000000001,93,84
1,0.3000000000000001,90,85
1,0.3100000000000001,91,83
1,0.3200000000000001,93,86
1,0.3300000000000001,94,82
1,0.34000000000000014,89,82
1,0.35000000000000014,93,82
1,0.36000000000000015,94,86
1,0.37000000000000016,86,81
1,0.38000000000000017,91,84
1,0.3900000000000002,93,85
1,0.4000000000000002,93,85
1,0.4100000000000002,94,83
1,0.4200000000000002,93,85
1,0.4300000000000002,90,83
1,0.4400000000000002,97,87
1,0.45000000000000023,90,83
1,0.46000000000000024,96,84
1,0.47000000000000025,92,84
1,0.48000000000000026,96,85
1,0.49000000000000027,92,84
1,0.5000000000000002,92,83
1,0.5100000000000002,95,85
1,0.5200000000000002,91,82
1,0.5300000000000002,96,85
1,0.5400000000000003,94,86
1,0.5500000000000003,99,88
1,0.5600000000000003,96,86
1,0.5700000000000003,94,86
1,0.5800000000000003,95,86
1,0.5900000000000003,89,85
1,0.6000000000000003,96,85
1,0.6100000000000003,94,85
1,0.6200000000000003,90,82
1,0.6300000000000003,100,87
1,0.6400000000000003,95,87
1,0.6500000000000004,94,85
1,0.6600000000000004,100,86
1,0.6700000000000004,91,85
1,0.6800000000000004,90,83
1,0.6900000000000004,94,86
1,0.7000000000000004,97,84
1,0.7100000000000004,97,86
1,0.7200000000000004,94,83
1,0.7300000000000004,91,83
1,0.7400000000000004,93,85
1,0.7500000000000004,93,84
1,0.7600000000000005,97,86
1,0.7700000000000005,93,86
1,0.7800000000000005,98,83
1,0.7900000000000005,95,84
1,0.8000000000000005,99,86
