Mean of Bot Competance Dstbn,Variance of Bot Competance Dstbn,Bot Only Levenshtein Distance,Align Consensus Levenshtein Distance
0,0.0,111,111
1,0.01,92,106
1,0.02,91,107
1,0.03,92,106
1,0.04,91,105
1,0.05,92,104
1,0.060000000000000005,93,107
1,0.07,92,106
1,0.08,94,109
1,0.09,93,105
1,0.09999999999999999,94,106
1,0.10999999999999999,95,105
1,0.11999999999999998,94,105
1,0.12999999999999998,95,105
1,0.13999999999999999,96,106
1,0.15,97,108
1,0.16,95,106
1,0.17,96,105
1,0.18000000000000002,100,107
1,0.19000000000000003,98,106
1,0.20000000000000004,99,107
1,0.21000000000000005,94,102
1,0.22000000000000006,100,107
1,0.23000000000000007,98,105
1,0.24000000000000007,100,107
1,0.25000000000000006,100,108
1,0.26000000000000006,101,107
1,0.2700000000000001,100,108
1,0.2800000000000001,102,110
1,0.2900000000000001,107,109
1,0.3000000000000001,105,109
1,0.3100000000000001,107,111
1,0.3200000000000001,102,110
1,0.3300000000000001,101,106
1,0.34000000000000014,102,108
1,0.35000000000000014,100,107
1,0.36000000000000015,109,111
1,0.37000000000000016,102,107
1,0.38000000000000017,103,108
1,0.3900000000000002,103,109
1,0.4000000000000002,103,111
1,0.4100000000000002,104,110
1,0.4200000000000002,106,110
1,0.4300000000000002,104,108
1,0.4400000000000002,108,109
1,0.45000000000000023,105,110
1,0.46000000000000024,105,109
1,0.47000000000000025,108,110
1,0.48000000000000026,107,107
1,0.49000000000000027,104,108
1,0.5000000000000002,105,109
1,0.5100000000000002,104,109
1,0.5200000000000002,109,110
1,0.5300000000000002,105,110
1,0.5400000000000003,109,108
1,0.5500000000000003,106,111
1,0.5600000000000003,107,110
1,0.5700000000000003,106,110
1,0.5800000000000003,104,110
1,0.5900000000000003,107,108
1,0.6000000000000003,110,111
1,0.6100000000000003,108,109
1,0.6200000000000003,109,113
1,0.6300000000000003,108,110
1,0.6400000000000003,101,108
1,0.6500000000000004,112,108
1,0.6600000000000004,109,112
1,0.6700000000000004,112,112
1,0.6800000000000004,108,109
1,0.6900000000000004,106,109
1,0.7000000000000004,111,109
1,0.7100000000000004,106,110
1,0.7200000000000004,110,113
1,0.7300000000000004,103,108
1,0.7400000000000004,111,111
1,0.7500000000000004,110,112
1,0.7600000000000005,110,109
1,0.7700000000000005,112,113
1,0.7800000000000005,106,109
1,0.7900000000000005,108,109
1,0.8000000000000005,109,110
1,0.8100000000000005,114,113
1,0.8200000000000005,112,110
1,0.8300000000000005,109,113
1,0.8400000000000005,115,112
1,0.8500000000000005,109,110
1,0.8600000000000005,113,111
1,0.8700000000000006,110,108
1,0.8800000000000006,109,112
1,0.8900000000000006,116,112
1,0.9000000000000006,113,113
1,0.9100000000000006,108,114
1,0.9200000000000006,112,111
1,0.9300000000000006,116,112
1,0.9400000000000006,107,111
1,0.9500000000000006,109,109
1,0.9600000000000006,105,109
1,0.9700000000000006,113,113
1,0.9800000000000006,109,108
1,0.9900000000000007,109,107
1,1.0000000000000007,111,113
0,1.0000000000000007,107,110
0,0.9900000000000007,112,111
0,0.9800000000000006,109,110
0,0.9700000000000006,115,113
0,0.9600000000000006,113,112
0,0.9500000000000006,112,114
0,0.9400000000000006,119,115
0,0.9300000000000006,118,111
0,0.9200000000000006,112,110
0,0.9100000000000006,115,112
0,0.9000000000000006,114,112
0,0.8900000000000006,116,115
0,0.8800000000000006,117,114
0,0.8700000000000006,114,113
0,0.8600000000000005,111,112
0,0.8500000000000005,120,113
0,0.8400000000000005,117,112
0,0.8300000000000005,115,111
0,0.8200000000000005,118,114
0,0.8100000000000005,113,112
0,0.8000000000000005,112,111
0,0.7900000000000005,120,115
0,0.7800000000000005,117,114
0,0.7700000000000005,116,114
0,0.7600000000000005,117,114
0,0.7500000000000004,119,115
0,0.7400000000000004,118,116
0,0.7300000000000004,117,113
0,0.7200000000000004,111,111
0,0.7100000000000004,116,112
0,0.7000000000000004,114,112
0,0.6900000000000004,118,112
0,0.6800000000000004,114,113
0,0.6700000000000004,119,114
0,0.6600000000000004,119,117
0,0.6500000000000004,113,112
0,0.6400000000000003,116,114
0,0.6300000000000003,117,112
0,0.6200000000000003,119,115
0,0.6100000000000003,117,114
0,0.6000000000000003,115,114
0,0.5900000000000003,119,113
0,0.5800000000000003,112,112
0,0.5700000000000003,115,114
0,0.5600000000000003,118,116
0,0.5500000000000003,116,112
0,0.5400000000000003,119,115
0,0.5300000000000002,121,116
0,0.5200000000000002,118,114
0,0.5100000000000002,120,114
0,0.5000000000000002,118,113
0,0.4900000000000002,118,115
0,0.4800000000000002,120,116
0,0.4700000000000002,122,114
0,0.4600000000000002,119,115
0,0.4500000000000002,120,113
0,0.44000000000000017,121,119
0,0.43000000000000016,122,115
0,0.42000000000000015,122,114
0,0.41000000000000014,122,116
0,0.40000000000000013,119,115
0,0.3900000000000001,120,115
0,0.3800000000000001,126,116
0,0.3700000000000001,126,117
0,0.3600000000000001,118,113
0,0.3500000000000001,120,115
0,0.3400000000000001,123,116
0,0.33000000000000007,124,115
0,0.32000000000000006,123,116
0,0.31000000000000005,127,117
0,0.30000000000000004,122,116
0,0.29000000000000004,122,115
0,0.28,122,115
0,0.27,123,116
0,0.26,126,118
0,0.25,124,116
0,0.24,127,117
0,0.22999999999999998,127,118
0,0.21999999999999997,127,118
0,0.20999999999999996,126,117
0,0.19999999999999996,126,119
0,0.18999999999999995,126,118
0,0.17999999999999994,127,118
0,0.16999999999999993,125,116
0,0.15999999999999992,127,116
0,0.1499999999999999,130,120
0,0.1399999999999999,126,116
0,0.1299999999999999,130,119
0,0.1199999999999999,129,120
0,0.1099999999999999,128,117
0,0.09999999999999991,129,119
0,0.08999999999999991,129,118
0,0.07999999999999992,130,118
0,0.06999999999999992,130,120
0,0.05999999999999992,130,117
0,0.04999999999999992,131,118
0,0.03999999999999992,131,118
0,0.029999999999999916,132,118
0,0.019999999999999914,132,118
0,0.009999999999999913,132,117
